FIPS,year,primary_sex,primary_age,primary_dual,state,primary_race,primary_eligibility,primary_denominator_well,analysis_value_well,primary_denominator_hosp,analysis_value_hosp,primary_denominator_emer,analysis_value_emer,laus_code,Name,Employed,Unemployed,unemployment_rate,FIPS,county,primary_care_physicians,population,urban,shadac_category,pcp_per_100k
47105,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",49,"10,000+",227,undefined,542,CN4710500000000,Loudon,22576,1097,4.6,47105,Loudon,30.0,52340,Urban,moderately adequate,57.31753916698509
47107,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",29,"5,000-9,999",248,undefined,744,CN4710700000000,McMinn,21971,1242,5.4,47107,McMinn,26.0,53053,Rural,moderately adequate,49.00759617740749
47109,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",40,"5,000-9,999",273,undefined,660,CN4710900000000,McNairy,7709,611,7.3,47109,McNairy,9.0,25844,Rural,moderately adequate,34.824330598978484
47111,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",24,"1,000-4,999",378,undefined,757,CN4711100000000,Macon,10634,535,4.8,47111,Macon,4.0,23842,Urban,low inadequate,16.777116013757237
47113,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",43,"10,000+",255,undefined,666,CN4711300000000,Madison,46460,2531,5.2,47113,Madison,129.0,97625,Urban,adequate,132.1382842509603
47115,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",33,"1,000-4,999",293,undefined,759,CN4711500000000,Marion,11704,679,5.5,47115,Marion,12.0,28538,Urban,moderately adequate,42.04919756114654
47117,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",20,"1,000-4,999",268,undefined,706,CN4711700000000,Marshall,14422,735,4.8,47117,Marshall,5.0,32965,Rural,low inadequate,15.167602002123465
47119,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",27,"10,000+",257,undefined,635,CN4711900000000,Maury,47447,2314,4.7,47119,Maury,53.0,91976,Rural,moderately adequate,57.623727929024966
47121,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",32,"1,000-4,999",253,undefined,612,CN4712100000000,Meigs,4898,325,6.2,47121,Meigs,6.0,12104,Rural,moderately adequate,49.570389953734306
47123,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",31,"5,000-9,999",245,undefined,636,CN4712300000000,Monroe,19174,1011,5.0,47123,Monroe,9.0,46064,Rural,low inadequate,19.538034039597083
47125,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",34,"10,000+",280,undefined,609,CN4712500000000,Montgomery,81825,4938,5.7,47125,Montgomery,82.0,200180,Urban,moderately adequate,40.96313318013788
47127,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,46,500-999,282,undefined,606,CN4712700000000,Moore,3427,130,3.7,47127,Moore,1.0,6378,Rural,low inadequate,15.678896205707117
47129,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",23,"1,000-4,999",263,undefined,636,CN4712900000000,Morgan,7327,455,5.8,47129,Morgan,3.0,21545,Rural,low inadequate,13.92434439545138
47131,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",16,"5,000-9,999",319,undefined,778,CN4713100000000,Obion,11451,758,6.2,47131,Obion,14.0,30365,Rural,moderately adequate,46.10571381524782
47133,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",37,"1,000-4,999",361,undefined,689,CN4713300000000,Overton,9289,550,5.6,47133,Overton,12.0,22068,Rural,moderately adequate,54.377379010331694
47135,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",23,"1,000-4,999",351,undefined,788,CN4713500000000,Perry,2801,237,7.8,47135,Perry,2.0,7962,Rural,low inadequate,25.119316754584275
47137,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,24,500-999,310,undefined,541,CN4713700000000,Pickett,2116,124,5.5,47137,Pickett,2.0,5079,Rural,moderately adequate,39.37783028155149
47139,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",29,"1,000-4,999",242,undefined,642,CN4713900000000,Polk,6960,386,5.3,47139,Polk,8.0,16814,Urban,moderately adequate,47.579398120613774
47141,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",35,"10,000+",291,undefined,634,CN4714100000000,Putnam,33615,1721,4.9,47141,Putnam,52.0,77447,Rural,adequate,67.14269113070874
47143,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",41,"5,000-9,999",231,undefined,705,CN4714300000000,Rhea,12230,853,6.5,47143,Rhea,12.0,32719,Rural,moderately adequate,36.67593752865308
47145,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",36,"5,000-9,999",302,undefined,683,CN4714500000000,Roane,22097,1273,5.4,47145,Roane,18.0,53075,Rural,moderately adequate,33.91427225624117
47147,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",26,"5,000-9,999",262,undefined,697,CN4714700000000,Robertson,36073,1547,4.1,47147,Robertson,26.0,70280,Urban,moderately adequate,36.994877632327835
47149,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",45,"10,000+",275,undefined,606,CN4714900000000,Rutherford,177888,7693,4.1,47149,Rutherford,137.0,315815,Urban,moderately adequate,43.379826797333884
47151,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",25,"1,000-4,999",285,undefined,743,CN4715100000000,Scott,7643,530,6.5,47151,Scott,8.0,21969,Rural,moderately adequate,36.41494833629205
47153,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",35,"1,000-4,999",246,undefined,765,CN4715300000000,Sequatchie,5805,340,5.5,47153,Sequatchie,5.0,14816,Urban,moderately adequate,33.74730021598272
47155,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",45,"10,000+",223,undefined,611,CN4715500000000,Sevier,50866,2680,5.0,47155,Sevier,38.0,97068,Rural,moderately adequate,39.14781390365517
47157,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",34,"10,000+",304,undefined,695,CN4715700000000,Shelby,416726,31444,7.0,47157,Shelby,806.0,936374,Urban,adequate,86.07671720914934
47159,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",25,"1,000-4,999",358,undefined,719,CN4715900000000,Smith,8972,432,4.6,47159,Smith,9.0,19740,Urban,moderately adequate,45.59270516717325
47161,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",39,"1,000-4,999",278,undefined,596,CN4716100000000,Stewart,5146,305,5.6,47161,Stewart,1.0,13427,Urban,low inadequate,7.447680047665153
47163,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",52,"10,000+",261,undefined,584,CN4716300000000,Sullivan,65810,3859,5.5,47163,Sullivan,199.0,157050,Urban,adequate,126.71123845908946
47165,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",30,"10,000+",324,undefined,712,CN4716500000000,Sumner,98879,4452,4.3,47165,Sumner,91.0,183437,Urban,moderately adequate,49.608312390630026
47167,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",20,"5,000-9,999",300,undefined,645,CN4716700000000,Tipton,26295,1446,5.2,47167,Tipton,17.0,61447,Urban,low inadequate,27.666118769020457
47169,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,24,500-999,425,undefined,946,CN4716900000000,Trousdale,5217,256,4.7,47169,Trousdale,2.0,10231,Urban,low inadequate,19.54843123839312
47171,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",38,"1,000-4,999",311,undefined,727,CN4717100000000,Unicoi,6548,498,7.1,47171,Unicoi,6.0,17811,Urban,moderately adequate,33.6870473303015
47173,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",46,"1,000-4,999",240,undefined,561,CN4717300000000,Union,7298,410,5.3,47173,Union,3.0,19488,Urban,low inadequate,15.394088669950738
47175,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,31,500-999,304,undefined,759,CN4717500000000,Van Buren,1884,137,6.8,47175,Van Buren,0.0,5760,Rural,low inadequate,0.0
47177,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",35,"5,000-9,999",310,undefined,758,CN4717700000000,Warren,15764,955,5.7,47177,Warren,21.0,40702,Rural,moderately adequate,51.5945162399882
47179,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",57,"10,000+",256,undefined,504,CN4717900000000,Washington,56905,2747,4.6,47179,Washington,226.0,127805,Urban,adequate,176.8318923359806
47181,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",15,"1,000-4,999",296,undefined,706,CN4718100000000,Wayne,6074,342,5.3,47181,Wayne,5.0,16693,Rural,moderately adequate,29.952674773857304
47183,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",30,"5,000-9,999",287,undefined,689,CN4718300000000,Weakley,14783,711,4.6,47183,Weakley,18.0,33510,Rural,moderately adequate,53.71530886302597
47185,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",35,"5,000-9,999",291,undefined,713,CN4718500000000,White,11484,601,5.0,47185,White,9.0,26800,Rural,moderately adequate,33.582089552238806
47187,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",48,"10,000+",201,undefined,469,CN4718700000000,Williamson,125213,4271,3.3,47187,Williamson,338.0,225389,Urban,adequate,149.9629529391408
47189,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",45,"10,000+",276,undefined,590,CN4718900000000,Wilson,74347,3079,4.0,47189,Wilson,43.0,136666,Urban,moderately adequate,31.463568114966414
